City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Shihezi,CN,44.3,86.0333,28.17,85,76,1.07,broken clouds
277,South Lake Tahoe,US,38.9332,-119.9844,58.26,61,1,4.61,clear sky
278,Shobara,JP,34.85,133.0167,37.89,95,80,1.52,broken clouds
279,Arkhara,RU,49.4212,130.0842,-1.21,92,29,6.62,scattered clouds
280,Ise,JP,34.4833,136.7,45.72,69,17,17.31,few clouds
281,Staryy Nadym,RU,65.6118,72.6842,-21.69,100,50,8.08,scattered clouds
282,Gazli,UZ,40.1333,63.45,44.62,33,100,7.85,overcast clouds
283,Kimbe,PG,-5.5502,150.1429,76.55,93,100,4.0,moderate rain
284,Danielskuil,ZA,-28.1887,23.5395,61.43,87,67,8.79,broken clouds
285,Peleduy,RU,59.6289,112.7406,27.43,90,100,14.09,light snow
286,Pasni,PK,25.2631,63.471,74.62,67,0,8.41,light rain
287,Colac,AU,-38.3333,143.5833,49.42,83,52,4.59,broken clouds
288,Never,FR,46.9896,3.159,42.51,87,90,11.5,overcast clouds
289,Lavrentiya,RU,65.5833,-171.0,1.87,93,27,7.0,scattered clouds
290,Aitape,PG,-3.1374,142.3475,78.62,89,100,6.89,overcast clouds
291,Carnarvon,AU,-24.8667,113.6333,71.67,83,0,8.05,clear sky
292,Sartell,US,45.6216,-94.2069,32.83,63,100,4.0,overcast clouds
293,Ahipara,NZ,-35.1667,173.1667,66.87,89,77,9.46,broken clouds
294,Palmer,US,42.1584,-72.3287,41.49,57,90,4.61,overcast clouds
295,Poum,NC,-20.2333,164.0167,79.38,76,7,11.45,clear sky
296,Boende,CD,-0.2167,20.8667,73.71,93,100,0.54,overcast clouds
297,Oloron-Sainte-Marie,FR,43.1944,-0.6107,49.55,89,100,8.9,overcast clouds
298,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,86,0,11.5,clear sky
299,Santa Ana,US,33.7456,-117.8678,65.66,81,90,0.0,haze
300,Ayan,RU,56.45,138.1667,3.6,67,100,3.38,overcast clouds
301,Sindgi,IN,16.9167,76.2333,76.01,59,62,5.66,broken clouds
302,Gaeta,IT,41.2183,13.5628,52.77,89,76,5.53,broken clouds
303,Mount Isa,AU,-20.7333,139.5,80.37,41,70,0.0,light rain
304,Finschhafen,PG,-6.6024,147.8681,80.1,83,100,3.27,overcast clouds
305,Kysyl-Syr,RU,63.8986,122.7617,-15.2,97,100,8.57,overcast clouds
306,Statesville,US,35.7826,-80.8873,74.66,47,1,0.0,clear sky
307,Korla,CN,41.7597,86.1469,28.11,58,98,3.2,overcast clouds
308,Beyneu,KZ,45.3167,55.2,33.42,76,6,10.22,clear sky
309,Udachnyy,RU,66.4167,112.4,-11.56,75,98,14.88,overcast clouds
310,Fairview,US,40.8126,-73.999,50.11,51,1,3.44,clear sky
311,Steubenville,US,40.3698,-80.634,50.68,45,17,1.99,few clouds
312,East Wenatchee Bench,US,47.4257,-120.2812,39.31,90,88,6.06,overcast clouds
313,Vitim,RU,59.4511,112.5578,27.75,87,100,14.56,overcast clouds
314,Andenes,NO,69.3143,16.1194,19.38,63,75,11.5,broken clouds
315,Parit Raja,MY,1.8681,103.1124,77.31,93,99,3.33,overcast clouds
316,Sao Filipe,CV,14.8961,-24.4956,76.33,71,100,10.38,overcast clouds
317,Svobodnyy,RU,51.4,128.1333,0.55,98,99,5.93,overcast clouds
318,Krasnogorskoye,RU,52.2953,86.1979,19.96,97,100,3.04,overcast clouds
319,Katobu,ID,-4.9408,122.5276,75.92,90,100,3.27,overcast clouds
320,Fortuna,US,40.5982,-124.1573,50.32,100,90,0.0,overcast clouds
321,Skjervoy,NO,70.0311,20.9714,21.96,66,1,13.8,clear sky
322,Mehamn,NO,71.0357,27.8492,17.87,78,5,19.08,clear sky
323,Tianpeng,CN,30.9866,103.9393,45.07,69,3,3.27,clear sky
324,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.25,73,90,4.72,overcast clouds
325,Krasnoselkup,RU,65.7,82.4667,-14.91,97,100,4.54,overcast clouds
326,Bulaevo,KZ,54.9056,70.4439,31.8,94,100,13.0,overcast clouds
327,Lingao,CN,19.9103,109.6859,68.0,58,96,10.11,overcast clouds
328,Ruwi,OM,23.5996,58.5507,73.09,60,6,3.53,clear sky
329,Tsiroanomandidy,MG,-18.7667,46.0333,78.76,49,95,2.1,overcast clouds
330,Baringo,KE,0.4667,35.9667,74.61,60,62,2.59,light rain
331,Verkhnevilyuysk,RU,63.4453,120.3167,2.44,97,100,1.39,light snow
332,Hays,US,30.0502,-98.0336,74.95,79,34,4.0,scattered clouds
333,Saurimo,AO,-9.6608,20.3916,67.06,93,65,2.53,light rain
